x,y,u,v,p
0.62,0.04,-0.0224069,-0.00141795,-0.0137624
0.63,0.04,-0.0217249,-0.00152503,-0.0135311
0.64,0.04,-0.0209955,-0.0016252,-0.0133138
0.65,0.04,-0.0202221,-0.00171764,-0.0131117
0.66,0.04,-0.0194083,-0.00180159,-0.012926
0.67,0.04,-0.0185583,-0.00187633,-0.0127576
0.68,0.04,-0.0176763,-0.00194117,-0.0126075
0.69,0.04,-0.016767,-0.00199548,-0.0124765
0.7,0.04,-0.0158352,-0.00203871,-0.0123651
0.71,0.04,-0.014886,-0.00207037,-0.0122739
0.72,0.04,-0.0139247,-0.00209006,-0.0122031
0.73,0.04,-0.0129567,-0.00209744,-0.012153
0.74,0.04,-0.0119877,-0.00209229,-0.0121234
0.75,0.04,-0.0110233,-0.00207449,-0.0121142
0.76,0.04,-0.0100692,-0.00204401,-0.0121248
0.77,0.04,-0.00913089,-0.00200093,-0.0121549
0.78,0.04,-0.00821412,-0.00194544,-0.0122034
0.79,0.04,-0.00732432,-0.00187784,-0.0122694
0.8,0.04,-0.00646678,-0.00179856,-0.0123519
0.81,0.04,-0.00564659,-0.00170813,-0.0124493
0.82,0.04,-0.00486855,-0.00160722,-0.0125602
0.83,0.04,-0.00413713,-0.00149661,-0.0126828
0.84,0.04,-0.0034564,-0.00137721,-0.0128153
0.85,0.04,-0.00282998,-0.0012501,-0.0129557
0.86,0.04,-0.00226098,-0.00111647,-0.0131018
0.87,0.04,-0.00175189,-0.000977714,-0.0132514
0.88,0.04,-0.00130456,-0.000835409,-0.013402
0.89,0.04,-0.000920062,-0.000691372,-0.0135511
0.9,0.04,-0.000598614,-0.000547706,-0.0136962
0.91,0.04,-0.000339461,-0.000406873,-0.0138348
0.92,0.04,-0.000140742,-0.000271782,-0.013964
0.93,0.04,6.63668e-07,-0.000145912,-0.0140814
0.94,0.04,8.93046e-05,-3.34571e-05,-0.0141845
0.95,0.04,0.000131347,6.05101e-05,-0.0142707
0.96,0.04,0.000134821,0.000129873,-0.0143379
0.97,0.04,0.000109726,0.000167352,-0.0143843
0.98,0.04,6.80693e-05,0.000164579,-0.0144084
0.99,0.04,2.94739e-05,0.00011237,-0.0143985
1,0.04,0,0,-0.0143985
0,0.05,0,0,-0.0197676
0.01,0.05,-5.71147e-06,-6.4191e-05,-0.0197676
0.02,0.05,-2.88794e-05,-3.30217e-05,-0.0198066
0.03,0.05,-9.25787e-05,6.27945e-05,-0.0198593
0.04,0.05,-0.00020613,0.000203376,-0.019927
0.05,0.05,-0.000377612,0.000373157,-0.0200074
0.06,0.05,-0.000612264,0.000560124,-0.0200976
